OTUID,Kingdom,conf,Phylum,conf,Class,conf,Order,conf,Family,conf,Genus,conf
OTU_8,Fungi,1,Glomeromycota,1,Glomeromycetes,1,Glomerales,1,uncultured_Glomus,0.32,Parapenidiella,0.0028
OTU_12,Fungi,1,Glomeromycota,1,Glomeromycetes,1,Glomerales,1,Glomeromycota_sp._WR341.b-C,0.52,,
OTU_18,Fungi,1,Glomeromycota,1,Glomeromycetes,1,Glomerales,1,Glomeromycota_sp._8963-E,0.95,,
OTU_29,Fungi,0.72,Ascomycota,0.504,Dothideomycetes,0.2419,Capnodiales,0.0992,Teratosphaeriaceae,0.0188,Cryomyces,0.0002
OTU_30,Fungi,0.4,Incertae_Sedis,0.064,Incertae_Sedis,0.0134,Harpellales,0.0013,Zancudomyces_culisetae,0.0001,,
OTU_31,Fungi,1,Glomeromycota,1,Glomeromycetes,1,Glomerales,1,Glomeromycota_sp._MIB_8446,0.24,Candida,0
OTU_36,Fungi,0.74,Ascomycota,0.4218,Dothideomycetes,0.1518,Incertae_Sedis,0.0152,Incertae_Sedis,0.0024,Parapenidiella,0.0034
OTU_40,Fungi,0.31,Glomeromycota,0.0186,Glomeromycetes,0.0011,Glomerales,0.0001,Glomus_sp._5014b24.Llao5,0,Ochroconis,0.0001
OTU_46,Fungi,0.48,Ascomycota,0.096,Saccharomycetes,0.0106,Saccharomycetales,0.0012,Incertae_Sedis,0.0001,,
OTU_48,Fungi,0.74,Ascomycota,0.5402,Dothideomycetes,0.2593,Capnodiales,0.1063,Teratosphaeriaceae,0.0191,,
OTU_50,Fungi,0.7,Ascomycota,0.224,Incertae_Sedis,0.0381,Incertae_Sedis,0.0042,Incertae_Sedis,0.001,,
OTU_49,Fungi,0.55,Incertae_Sedis,0.055,Incertae_Sedis,0.0077,Harpellales,0.0008,Harpellomyces_sp._PA-3-1d,0,,
OTU_28,Fungi,1,Ascomycota,1,Leotiomycetes,0.48,Helotiales,0.2016,Microscypha_cajaniensis,0.0484,,
OTU_54,Fungi,0.41,Ascomycota,0.1189,Sordariomycetes,0.0095,Hypocreales,0.0008,Stereopsis_radicans,0.0001,Parapenidiella,0.0018
OTU_55,Fungi,0.44,Ascomycota,0.0792,Sordariomycetes,0.004,Hypocreales,0.0002,Stereopsis_radicans,0,,
OTU_56,Fungi,0.64,Ascomycota,0.3776,Sordariomycetes,0.2039,Microascales,0.0122,Corollospora_maritima,0.0006,Orpinomyces_sp._C1A,0
OTU_57,Fungi,0.79,Ascomycota,0.5293,Dothideomycetes,0.2329,Capnodiales,0.0885,Teratosphaeriaceae,0.0142,Pilophorus,0
OTU_52,Fungi,1,Glomeromycota,1,Glomeromycetes,1,Glomerales,1,Glomus_mycorrhizal_symbiont_of_Marchantia_foliacea,0.81,,
OTU_58,Fungi,0.28,Neocallimastigomycota,0.0252,Neocallimastigomycetes,0.0023,Neocallimastigales,0.0002,Neocallimastigaceae,0,,
OTU_61,Fungi,0.49,Ascomycota,0.0931,Lecanoromycetes,0.0047,Lecanorales,0.0002,Cladoniaceae,0,Smittium,0.0001
OTU_64,Fungi,0.25,Incertae_Sedis,0.0425,Incertae_Sedis,0.0072,Harpellales,0.0009,Zancudomyces_culisetae,0.0001,,
OTU_65,Fungi,0.41,Ascomycota,0.1066,Sordariomycetes,0.0128,Hypocreales,0.0015,Stereopsis_radicans,0.0002,,
OTU_66,Fungi,0.54,Incertae_Sedis,0.1134,Incertae_Sedis,0.0238,Harpellales,0.004,Legeriomycetaceae,0.0007,,
OTU_68,Fungi,0.65,Ascomycota,0.39,Sordariomycetes,0.2145,Hypocreales,0.045,Stachybotrys_chartarum,0.0032,Candida,0.0001
OTU_69,Fungi,0.32,Ascomycota,0.0672,Sordariomycetes,0.0067,Hypocreales,0.0007,Stereopsis_radicans,0.0001,Cryomyces,0.0019
OTU_70,Fungi,0.58,Ascomycota,0.1856,Saccharomycetes,0.0186,Saccharomycetales,0.0019,uncultured_Galactomyces,0.0001,Parapenidiella,0.0004
OTU_75,Fungi,0.52,Ascomycota,0.1872,Saccharomycetes,0.0337,Saccharomycetales,0.0061,Incertae_Sedis,0.0011,,
OTU_78,Fungi,0.85,Ascomycota,0.6375,Dothideomycetes,0.357,Incertae_Sedis,0.0571,Incertae_Sedis,0.0143,Ochroconis,0.0005
OTU_81,Fungi,0.66,Ascomycota,0.3102,Dothideomycetes,0.0962,Capnodiales,0.0269,Teratosphaeriaceae,0.0035,,
OTU_80,Fungi,0.32,Ascomycota,0.064,Sordariomycetes,0.0051,Hypocreales,0.0004,Stereopsis_radicans,0,,
OTU_85,Fungi,0.6,Ascomycota,0.246,Incertae_Sedis,0.0566,Incertae_Sedis,0.0108,Incertae_Sedis,0.0028,Tuber,0
OTU_86,Fungi,0.55,Ascomycota,0.1705,Sordariomycetes,0.0136,Hypocreales,0.0011,Stereopsis_radicans,0.0001,Erysiphe,0.0002
OTU_87,Fungi,0.57,Incertae_Sedis,0.0912,Incertae_Sedis,0.0283,Harpellales,0.0045,Zancudomyces_culisetae,0.0004,Parapenidiella,0.0012
OTU_91,Fungi,0.41,Ascomycota,0.0697,Pezizomycetes,0.0028,Pezizales,0.0001,Tuberaceae,0,d:Eukaryota,
OTU_93,Fungi,0.57,Ascomycota,0.2622,Leotiomycetes,0.0472,Erysiphales,0.008,Erysiphaceae,0.0012,uncultured_Ascomycota,0.0006
OTU_94,Fungi,0.67,Ascomycota,0.3484,Dothideomycetes,0.1289,Capnodiales,0.0438,Teratosphaeriaceae,0.0083,Neoerysiphe,0
OTU_95,Fungi,0.69,LKM15,0.0621,uncultured_eukaryote,0.0062,,,,,Sarcoscypha,0
OTU_90,Fungi,1,Ascomycota,0.94,Dothideomycetes,0.2914,Jahnulales,0.035,Aliquandostipitaceae,0.0042,,
OTU_99,Fungi,0.65,Ascomycota,0.286,Leotiomycetes,0.04,Erysiphales,0.0048,Erysiphaceae,0.0005,Fellomyces,0
OTU_100,Fungi,0.58,Ascomycota,0.203,Pezizomycetes,0.0183,Pezizales,0.0016,Sarcoscyphaceae,0.0001,,
OTU_88,Fungi,0.39,Ascomycota,0.0741,Sordariomycetes,0.0052,Hypocreales,0.0004,Stereopsis_radicans,0,Myrothecium,0
OTU_102,Fungi,0.39,Basidiomycota,0.0663,Tremellomycetes,0.0073,Tremellales,0.0008,Cuniculitremaceae,0,d:Eukaryota,
OTU_107,Fungi,0.79,Ascomycota,0.5846,Sordariomycetes,0.4268,Microascales,0.0555,Corollospora_maritima,0.0072,Conidiobolus,0
OTU_106,Fungi,0.48,Ascomycota,0.0816,Sordariomycetes,0.0073,Hypocreales,0.0007,Incertae_Sedis,0.0001,Diatrypasimilis,0.0006
OTU_113,Fungi,0.44,Cryptomycota,0.0264,uncultured_fungus,0.0013,,,,,Phialemonium,0.0017
OTU_118,Fungi,0.42,Entomophthoromycota,0.0504,Incertae_Sedis,0.0086,Entomophthorales,0.001,Ancylistaceae,0.0001,Schizosaccharomyces,0
OTU_119,Fungi,0.63,Ascomycota,0.3402,Sordariomycetes,0.1667,Xylariales,0.03,Incertae_Sedis,0.0057,,
OTU_120,Fungi,0.79,Ascomycota,0.6083,Sordariomycetes,0.4562,Sordariales,0.1004,Cephalothecaceae,0.0171,Phialemonium,0.0007
OTU_121,Fungi,0.41,Ascomycota,0.1025,Schizosaccharomycetes,0.0082,Schizosaccharomycetales,0.0007,Schizosaccharomycetaceae,0.0001,Parapenidiella,0.0008
OTU_122,Fungi,0.58,Ascomycota,0.232,Sordariomycetes,0.0232,Hypocreales,0.0023,Stereopsis_radicans,0.0002,,
OTU_125,Fungi,0.83,Ascomycota,0.6059,Sordariomycetes,0.406,Sordariales,0.0609,Cephalothecaceae,0.0073,,
OTU_127,Fungi,0.75,Ascomycota,0.5325,Dothideomycetes,0.229,Capnodiales,0.0687,Teratosphaeriaceae,0.0089,,
OTU_111,Fungi,0.53,Ascomycota,0.1961,Sordariomycetes,0.0275,Hypocreales,0.0038,Stereopsis_radicans,0.0005,,
OTU_128,Fungi,0.36,Ascomycota,0.072,Sordariomycetes,0.005,Hypocreales,0.0004,Stereopsis_radicans,0,Cryptococcus,0
OTU_130,Fungi,0.3,Incertae_Sedis,0.042,Incertae_Sedis,0.0076,Harpellales,0.0009,Zancudomyces_culisetae,0.0001,Sordaria,0
OTU_131,Fungi,0.24,Basidiomycota,0.0264,Microbotryomycetes,0.0011,Sporidiobolus_salmonicolor,0,,,,
OTU_135,Fungi,0.39,Basidiomycota,0.0741,Tremellomycetes,0.0074,Tremellales,0.0007,Tremellaceae,0.0001,Ophiocordyceps,0.0042
OTU_139,Fungi,0.54,Ascomycota,0.27,Sordariomycetes,0.1161,Sordariales,0.0081,Sordariaceae,0.0004,Lamprospora,0
OTU_138,Fungi,0.41,Ascomycota,0.1148,Eurotiomycetes,0.0069,Chaetothyriales,0.0003,Lasallia_pustulata,0,Rhodotorula,0
OTU_146,Fungi,0.79,Ascomycota,0.5688,Sordariomycetes,0.3868,Hypocreales,0.147,Ophiocordycipitaceae,0.0265,f:Incertae_Sedis,0.0012
OTU_147,Fungi,0.42,Ascomycota,0.168,Pezizomycetes,0.0151,Pezizales,0.0014,Pyronemataceae,0.0001,,
OTU_148,Fungi,0.38,Basidiomycota,0.0608,Microbotryomycetes,0.0036,Sporidiobolales,0.0002,Incertae_Sedis,0,,
OTU_149,Fungi,0.58,Chytridiomycota,0.2784,Incertae_Sedis,0.1476,c:Chytridiomycetes,0.0708,o:Rhizophydiales,0.0106,,
OTU_145,Fungi,0.51,Ascomycota,0.102,Sordariomycetes,0.0041,Hypocreales,0.0002,Stereopsis_radicans,0,Tremella,0
OTU_137,Fungi,0.45,Ascomycota,0.117,Sordariomycetes,0.0059,Hypocreales,0.0003,Stereopsis_radicans,0,Flammispora,0.0027
OTU_157,Fungi,0.56,Ascomycota,0.1624,Sordariomycetes,0.0114,Hypocreales,0.0008,Stereopsis_radicans,0.0001,,
OTU_158,Fungi,0.54,Basidiomycota,0.054,Tremellomycetes,0.0043,Tremellales,0.0002,Tremellaceae,0,d:Eukaryota,
OTU_160,Fungi,0.76,Ascomycota,0.5168,Sordariomycetes,0.3049,Xylariales,0.061,Incertae_Sedis,0.0207,Ophiocordyceps,0.0003
OTU_166,Fungi,0.37,Ascomycota,0.037,Sordariomycetes,0.0011,Hypocreales,0,Stereopsis_radicans,0,Schizosaccharomyces,0.0002
OTU_165,Fungi,0.54,LKM15,0.0324,uncultured_eukaryote,0.0036,,,,,,
OTU_170,Fungi,0.58,Ascomycota,0.3074,Sordariomycetes,0.1598,Hypocreales,0.0448,Ophiocordycipitaceae,0.0036,uncultured,1
OTU_167,Fungi,0.56,Ascomycota,0.168,Schizosaccharomycetes,0.0302,Schizosaccharomycetales,0.0054,Schizosaccharomycetaceae,0.001,Paragyrodon,0
OTU_163,Fungi,1,Glomeromycota,1,Glomeromycetes,1,Glomerales,1,Glomeromycota_sp._8369,0.27,Myrothecium,0.0001
OTU_169,Fungi,1,Basidiomycota,1,Agaricomycetes,1,Trechisporales,1,Hydnodontaceae,1,Histoplasma,0
OTU_173,Fungi,0.55,Basidiomycota,0.154,Agaricomycetes,0.0277,Boletales,0.0022,Paxillaceae,0.0001,Sarocladium,0.0097
OTU_175,Fungi,0.66,Ascomycota,0.2574,Sordariomycetes,0.0438,Hypocreales,0.007,Incertae_Sedis,0.0013,Parapenidiella,0.0031
OTU_179,Fungi,0.49,Ascomycota,0.147,Eurotiomycetes,0.0176,Onygenales,0.0019,Ajellomycetaceae,0.0002,,
OTU_181,Fungi,0.7,Ascomycota,0.427,Sordariomycetes,0.2562,Hypocreales,0.1127,Incertae_Sedis,0.0485,,
OTU_182,Fungi,0.88,Ascomycota,0.616,Dothideomycetes,0.2834,Capnodiales,0.1048,Teratosphaeriaceae,0.0241,,
OTU_180,Fungi,1,Ascomycota,1,Dothideomycetes,1,Pleosporales,1,uncultured_fungus,0.56,Cladophialophora,0.6006
OTU_188,Fungi,0.36,Basidiomycota,0.072,Pucciniomycetes,0.0072,Pucciniales,0.0007,Melampsora_larici-populina_98AG31,0,Diatrypasimilis,0.0002
OTU_187,Fungi,0.59,Ascomycota,0.2124,Saccharomycetes,0.0404,Saccharomycetales,0.0077,Saccharomyces_cerevisiae_,baker's_yeast,Parapenidiella,0.0004
OTU_186,Fungi,1,Ascomycota,1,Eurotiomycetes,1,Chaetothyriales,1,Herpotrichiellaceae,0.91,Isaria,0.0016
OTU_192,Fungi,0.55,Ascomycota,0.253,Sordariomycetes,0.1164,Xylariales,0.0105,Incertae_Sedis,0.0023,d:Eukaryota,
OTU_193,Fungi,0.74,Ascomycota,0.3552,Dothideomycetes,0.0924,Capnodiales,0.0231,Teratosphaeriaceae,0.0032,Sphaeronaemella,0.0002
OTU_195,Fungi,0.68,Ascomycota,0.3944,Sordariomycetes,0.2209,Hypocreales,0.0795,Cordycipitaceae,0.0135,Mycosphaerella,0
OTU_194,Fungi,0.45,Cryptomycota,0.0315,uncultured_fungus,0.0019,,,,,,
OTU_198,Fungi,0.58,Ascomycota,0.319,Sordariomycetes,0.1659,Microascales,0.0199,Incertae_Sedis,0.003,d:Eukaryota,
OTU_197,Fungi,0.56,Ascomycota,0.252,Dothideomycetes,0.0454,Capnodiales,0.0054,Mycosphaerellaceae,0.0003,,
OTU_201,Fungi,0.41,Incertae_Sedis,0.0492,Incertae_Sedis,0.0079,Harpellales,0.0008,Zancudomyces_culisetae,0,,
OTU_203,Fungi,0.48,LKM15,0.0288,Mitosporidium_daphniae,0.0017,,,,,,
OTU_208,Fungi,0.69,Ascomycota,0.4623,Sordariomycetes,0.2959,Hypocreales,0.1272,Nilaparvata_lugens_yeast-like_symbiont,0.0165,,
OTU_202,Fungi,1,Glomeromycota,1,Glomeromycetes,1,Glomerales,1,Glomus_sp._5004a13.VerdeG,0.19,,
OTU_190,Fungi,0.49,Incertae_Sedis,0.0588,Incertae_Sedis,0.0076,Harpellales,0.0005,Zancudomyces_culisetae,0,,
OTU_210,Fungi,0.41,Basidiomycota,0.0902,Agaricomycetes,0.0171,cf._Phlebia_sp._CBS_118.16,0.0009,,,Conidiobolus,0
OTU_214,Fungi,0.78,Ascomycota,0.4524,Sordariomycetes,0.2579,Hypocreales,0.147,Stereopsis_radicans,0.0838,Exophiala,0
OTU_213,Fungi,0.51,Ascomycota,0.1428,Saccharomycetes,0.0243,Saccharomycetales,0.0041,Candida_sp._BCC_7717,0.0003,Tuber,0
OTU_215,Fungi,0.4,Entomophthoromycota,0.036,Incertae_Sedis,0.0054,Entomophthorales,0.0005,Ancylistaceae,0,Albertiniella,0.0001
OTU_218,Fungi,0.48,Ascomycota,0.168,Eurotiomycetes,0.0202,Chaetothyriales,0.0022,Herpotrichiellaceae,0.0002,Candida,0
OTU_219,Fungi,0.41,Ascomycota,0.0984,Pezizomycetes,0.0049,Pezizales,0.0002,Tuberaceae,0,d:Eukaryota,
OTU_222,Fungi,0.55,Ascomycota,0.2475,Sordariomycetes,0.099,Sordariales,0.0119,Cephalothecaceae,0.0013,Microidium,0
OTU_221,Fungi,0.41,Ascomycota,0.1353,Saccharomycetes,0.0189,Saccharomycetales,0.0027,Incertae_Sedis,0.0003,Trichophyton,0
OTU_225,Fungi,0.32,Cryptomycota,0.0224,uncultured_eukaryote,0.002,,,,,,
OTU_229,Fungi,0.62,Ascomycota,0.1922,Leotiomycetes,0.0211,Erysiphales,0.0006,Erysiphaceae,0,Parapenidiella,0.0039
OTU_230,Fungi,0.54,Ascomycota,0.2214,Eurotiomycetes,0.031,Onygenales,0.0015,Arthrodermataceae,0.0001,Candida,0
OTU_232,Fungi,0.53,Ascomycota,0.1484,Sordariomycetes,0.0178,Hypocreales,0.0016,Stereopsis_radicans,0.0001,,
OTU_217,Fungi,0.77,Ascomycota,0.5236,Dothideomycetes,0.2513,Capnodiales,0.098,Teratosphaeriaceae,0.0206,Malassezia,0
OTU_235,Fungi,0.52,Ascomycota,0.2132,Saccharomycetes,0.0171,Saccharomycetales,0.0014,Incertae_Sedis,0.0001,Paramicrosporidium,0
OTU_240,Fungi,0.72,Ascomycota,0.4968,Sordariomycetes,0.3378,Xylariales,0.0507,Xylaria_sp._JS573,0.0046,,
OTU_244,Fungi,0.33,Basidiomycota,0.0264,Exobasidiomycetes,0.0011,Malasseziales,0,Incertae_Sedis,0,d:Eukaryota,
OTU_245,Fungi,0.53,Cryptomycota,0.0318,Incertae_Sedis,0.0041,Incertae_Sedis,0.0002,Incertae_Sedis,0,f:Incertae_Sedis,0
OTU_246,Fungi,0.51,Incertae_Sedis,0.1377,Incertae_Sedis,0.0413,Mucorales,0.0058,Mucor_racemosus,0.0003,Parapenidiella,0.0008
OTU_249,Fungi,0.35,Cryptomycota,0.0105,uncultured_fungus,0.0003,,,,,Mycosphaerella,0
OTU_250,Fungi,0.44,Chytridiomycota,0.0572,Incertae_Sedis,0.0092,c:Chytridiomycetes,0.0012,o:Rhizophydiales,0.0001,Smittium,0.0001
OTU_251,Fungi,0.65,Ascomycota,0.3705,Dothideomycetes,0.1482,Capnodiales,0.0563,Teratosphaeriaceae,0.009,Dioszegia,0
OTU_254,Fungi,0.44,Ascomycota,0.1672,Dothideomycetes,0.0251,Capnodiales,0.0035,Mycosphaerellaceae,0.0003,Mycosphaerella,0
OTU_252,Fungi,0.55,Incertae_Sedis,0.0935,Incertae_Sedis,0.0262,Harpellales,0.0045,Legeriomycetaceae,0.0008,,
OTU_253,Fungi,0.68,Basidiomycota,0.1632,Tremellomycetes,0.0163,Tremellales,0.0016,Tremellaceae,0.0001,Ochroconis,0.0006
OTU_255,Fungi,0.44,Ascomycota,0.1144,Dothideomycetes,0.0069,Capnodiales,0.0003,Mycosphaerellaceae,0,Smittium,0
OTU_261,Fungi,0.49,Incertae_Sedis,0.0392,Incertae_Sedis,0.0035,Harpellales,0.0003,Zancudomyces_culisetae,0,Smittium,0
OTU_241,Fungi,0.71,Ascomycota,0.3337,Incertae_Sedis,0.0701,Incertae_Sedis,0.0133,Incertae_Sedis,0.0036,Conidiobolus,0
OTU_259,Fungi,0.37,Incertae_Sedis,0.0407,Incertae_Sedis,0.0045,Harpellales,0.0004,Legeriomycetaceae,0,Diatrypasimilis,0.0011
OTU_262,Fungi,0.34,Incertae_Sedis,0.0374,Incertae_Sedis,0.0045,Harpellales,0.0004,Legeriomycetaceae,0,Calocera,0
OTU_260,Fungi,0.44,Entomophthoromycota,0.0308,Incertae_Sedis,0.0037,Entomophthorales,0.0003,Ancylistaceae,0,,
